"id","cnpj","nome","cep","logradouro","bairro","cidade","uf","cd_estabelecimento","ps"
1,"31466949001853",DF - PS SIG,"70610440",Sig Quadra 4,Zona Industrial,Brasilia,DF,13,true
2,"31466949001500",ES - PS Vila Velha,"29106730",Avenida Carlos Lindenberg,Ilha dos Ayres,Vila Velha,ES,3,true
5,"31466949003635",RJ - PS Barra da Tijuca,"22775005",Avenida Ayrton Senna,Jacarepegua,Rio de Janeiro,RJ,25,true
3,"31466949001772",MG - PS Gutierrez,"30110059",Avenida do Contorno,Gutierrez,Belo Horizonte,MG,31,true
9,"11111111111111",ES - Hospital Vitoria,"29073700",Avenida Leitao da Silva,Gurigica,Vitoria,ES,1,true
4,"31466949004011",MG - PS Pampulha,"31270672",Avenida Presidente Antonio Carlos,Sao Luiz,Belo Horizonte,MG,33,true
6,"31466949003716",RJ - PS Botafogo,"22251040",Rua Marques de Olinda,Botafogo,Rio de Janeiro,RJ,26,true
7,"31466949003805",DF - PS Taguatinga,"71953000",Qs 3,(areal) Pistao Sul,Brasilia,DF,39,true
11,"31466949003718",ES - BRESSAN,"29106730",Avenida Carlos Lindenberg,Ilha dos Ayres,Vila Velha,ES,8,false
13,"31466949003780",ES - SERRA,"30110059",Avenida do Contorno,Gutierrez,Belo Horizonte,MG,7,false
14,"31466949003781",ES - JERONIMO,"29073700",Avenida Leitao da Silva,Gurigica,Vitoria,ES,34,false
15,"31466949003782",DF - AGUAS CLARAS,"31270672",Avenida Presidente Antonio Carlos,Sao Luiz,Belo Horizonte,MG,43,false
12,"31466949003719",MG - FUNCIONARIOS,"22775005",Avenida Ayrton Senna,não informado,Minas Gerais,MG,28,false
16,"31466949004290",SP - Campinas,"29167124",s sa dsadasw sad,asdasdsada,asdasdsadas,SP,41,false
17,"31466949004291",SP - Zona Central Av. Paulista,"29167124",Zona Central Av. Paulista,fdcasffef,SP,SP,16,false
10,"31466949003717",ES - CDM,"70610440",Sig Quadra 4,Zona Industrial,Brasilia,ES,11,false
8,"31466949004283",RJ - PS Campo Grande,"23052102",Avenida Cesario de Melo,Campo Grande,Rio de Janeiro,RJ,45,true
